metric_family,case,corner,corner_label,value,unit,reference_case,reference_value,delta_value,delta_percent,evidence_type,source_files,notes
Hold SNM,Baseline,ff,FF 1.2 V,461.093696,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/hold/holdSNM_ff.csv; sim_data/baseline/hold/holdSNM_tt.csv; sim_data/baseline/hold/holdSNM_ss.csv,Largest-square SNM extraction from the hold butterfly CSVs.
Hold SNM,Baseline,tt,TT 1.0 V,422.318398,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/hold/holdSNM_ff.csv; sim_data/baseline/hold/holdSNM_tt.csv; sim_data/baseline/hold/holdSNM_ss.csv,Largest-square SNM extraction from the hold butterfly CSVs.
Hold SNM,Baseline,ss_1V,SS 1.0 V,426.504067,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/hold/holdSNM_ff.csv; sim_data/baseline/hold/holdSNM_tt.csv; sim_data/baseline/hold/holdSNM_ss.csv,Largest-square SNM extraction from the hold butterfly CSVs.
Read SNM,Baseline,ff,FF 1.2 V,222.939201,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/read/ReadSNM_ff.csv; sim_data/baseline/read/ReadSNM_tt.csv; sim_data/baseline/read/ReadSNM_ss.csv,Largest-square limiting-eye extraction from the read butterfly CSVs.
Read SNM,Baseline,tt,TT 1.0 V,212.490719,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/read/ReadSNM_ff.csv; sim_data/baseline/read/ReadSNM_tt.csv; sim_data/baseline/read/ReadSNM_ss.csv,Largest-square limiting-eye extraction from the read butterfly CSVs.
Read SNM,Baseline,ss_1V,SS 1.0 V,224.231356,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/read/ReadSNM_ff.csv; sim_data/baseline/read/ReadSNM_tt.csv; sim_data/baseline/read/ReadSNM_ss.csv,Largest-square limiting-eye extraction from the read butterfly CSVs.
Write Noise Margin,Baseline,ff,FF 1.2 V,473.869408,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/write/writenm_ff.csv; sim_data/baseline/write/writenm_tt.csv; sim_data/baseline/write/writenm_ss.csv,Diagonal-corner WNM extraction following the current project convention.
Write Noise Margin,Baseline,tt,TT 1.0 V,361.685074,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/write/writenm_ff.csv; sim_data/baseline/write/writenm_tt.csv; sim_data/baseline/write/writenm_ss.csv,Diagonal-corner WNM extraction following the current project convention.
Write Noise Margin,Baseline,ss_1V,SS 1.0 V,258.591459,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/write/writenm_ff.csv; sim_data/baseline/write/writenm_tt.csv; sim_data/baseline/write/writenm_ss.csv,Diagonal-corner WNM extraction following the current project convention.
Hold SNM,High Vt,ff,FF 1.2 V,466.206644,mV,Baseline,461.093696,5.112949,1.108874,Measured in Cadence,sim_data/optimized/high_vt/hold_snm_opt_vt_ff.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_tt.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_ss.csv,High-Vt hold SNM relative to the baseline cell.
Hold SNM,High Vt,ss_1V,SS 1.0 V,416.231874,mV,Baseline,426.504067,-10.272193,-2.408463,Measured in Cadence,sim_data/optimized/high_vt/hold_snm_opt_vt_ff.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_tt.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_ss.csv,High-Vt hold SNM relative to the baseline cell.
Hold SNM,High Vt,tt,TT 1.0 V,406.018277,mV,Baseline,422.318398,-16.300121,-3.859676,Measured in Cadence,sim_data/optimized/high_vt/hold_snm_opt_vt_ff.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_tt.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_ss.csv,High-Vt hold SNM relative to the baseline cell.
Read SNM,High Vt,ff,FF 1.2 V,206.606503,mV,Baseline,222.939201,-16.332698,-7.326077,Measured in Cadence,sim_data/optimized/high_vt/opt_Vt_readSNM_ff.csv; sim_data/optimized/high_vt/opt_Vt_readSNM_tt.csv; sim_data/optimized/high_vt/opt_Vt_readSNM_ss.csv,High-Vt read SNM relative to the baseline cell.
Read SNM,High Vt,ss_1V,SS 1.0 V,206.349402,mV,Baseline,224.231356,-17.881955,-7.974779,Measured in Cadence,sim_data/optimized/high_vt/opt_Vt_readSNM_ff.csv; sim_data/optimized/high_vt/opt_Vt_readSNM_tt.csv; sim_data/optimized/high_vt/opt_Vt_readSNM_ss.csv,High-Vt read SNM relative to the baseline cell.
Read SNM,High Vt,tt,TT 1.0 V,190.888726,mV,Baseline,212.490719,-21.601993,-10.166088,Measured in Cadence,sim_data/optimized/high_vt/opt_Vt_readSNM_ff.csv; sim_data/optimized/high_vt/opt_Vt_readSNM_tt.csv; sim_data/optimized/high_vt/opt_Vt_readSNM_ss.csv,High-Vt read SNM relative to the baseline cell.
Hold-Window Supply Energy,High Vt,ff,FF 1.2 V,33.455952,aJ,Baseline,32.617173,0.838779,2.571587,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/high_vt/trans_vt_opt_ff.csv; sim_data/optimized/high_vt/trans_vt_opt_tt.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_1V.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_0.8V.csv,Integrated 6-9 ns supply energy used as the hold-window leakage-oriented metric.
Hold-Window Supply Energy,High Vt,tt,TT 1.0 V,17.753874,aJ,Baseline,20.620747,-2.866873,-13.902855,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/high_vt/trans_vt_opt_ff.csv; sim_data/optimized/high_vt/trans_vt_opt_tt.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_1V.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_0.8V.csv,Integrated 6-9 ns supply energy used as the hold-window leakage-oriented metric.
Hold-Window Supply Energy,High Vt,ss_1V,SS 1.0 V,15.728365,aJ,Baseline,15.220161,0.508205,3.339023,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/high_vt/trans_vt_opt_ff.csv; sim_data/optimized/high_vt/trans_vt_opt_tt.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_1V.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_0.8V.csv,Integrated 6-9 ns supply energy used as the hold-window leakage-oriented metric.
Hold-Window Supply Energy,High Vt,ss_0.8V,SS 0.8 V,10.023511,aJ,Baseline,10.176754,-0.153243,-1.505818,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/high_vt/trans_vt_opt_ff.csv; sim_data/optimized/high_vt/trans_vt_opt_tt.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_1V.csv; sim_data/optimized/high_vt/trans_vt_opt_ss_0.8V.csv,Integrated 6-9 ns supply energy used as the hold-window leakage-oriented metric.
Write Delay,Negative BL,ff,FF 1.2 V,8.501688,ps,Baseline,15.182255,-6.680567,-44.002466,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ff.csv; sim_data/optimized/negative_bitline/trans_negBLopt_tt.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_1V.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_0.8V.csv,WL-to-Q assisted write delay measured from the transient benches.
Write Delay,Negative BL,tt,TT 1.0 V,9.638089,ps,Baseline,21.166639,-11.528550,-54.465664,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ff.csv; sim_data/optimized/negative_bitline/trans_negBLopt_tt.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_1V.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_0.8V.csv,WL-to-Q assisted write delay measured from the transient benches.
Write Delay,Negative BL,ss_1V,SS 1.0 V,13.862195,ps,Baseline,34.435547,-20.573352,-59.744519,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ff.csv; sim_data/optimized/negative_bitline/trans_negBLopt_tt.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_1V.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_0.8V.csv,WL-to-Q assisted write delay measured from the transient benches.
Write Delay,Negative BL,ss_0.8V,SS 0.8 V,23.275429,ps,Baseline,85.623192,-62.347763,-72.816443,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ff.csv; sim_data/optimized/negative_bitline/trans_negBLopt_tt.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_1V.csv; sim_data/optimized/negative_bitline/trans_negBLopt_ss_0.8V.csv,WL-to-Q assisted write delay measured from the transient benches.
Read SNM,WL Underdrive,ff,FF 1.2 V,315.827457,mV,Baseline,222.939201,92.888255,41.665286,Measured in Cadence,sim_data/optimized/wordline_underdrive/read_snm_opt_ff.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_tt.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_ss.csv,Wordline-underdrive read SNM relative to the baseline cell.
Read SNM,WL Underdrive,ss_1V,SS 1.0 V,309.244969,mV,Baseline,224.231356,85.013612,37.913347,Measured in Cadence,sim_data/optimized/wordline_underdrive/read_snm_opt_ff.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_tt.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_ss.csv,Wordline-underdrive read SNM relative to the baseline cell.
Read SNM,WL Underdrive,tt,TT 1.0 V,297.353356,mV,Baseline,212.490719,84.862637,39.937103,Measured in Cadence,sim_data/optimized/wordline_underdrive/read_snm_opt_ff.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_tt.csv; sim_data/optimized/wordline_underdrive/read_snm_opt_ss.csv,Wordline-underdrive read SNM relative to the baseline cell.
Read Disturb,WL Underdrive,ff,FF 1.2 V,109.746572,mV,Baseline,189.362419,-79.615848,-42.044165,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ff.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_tt.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_1V.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_0.8V.csv,Pulse-window transient read-disturb metric measured on QB during the read pulse.
Read Disturb,WL Underdrive,tt,TT 1.0 V,51.056955,mV,Baseline,119.437676,-68.380721,-57.252220,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ff.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_tt.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_1V.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_0.8V.csv,Pulse-window transient read-disturb metric measured on QB during the read pulse.
Read Disturb,WL Underdrive,ss_1V,SS 1.0 V,36.033402,mV,Baseline,100.404850,-64.371448,-64.111891,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ff.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_tt.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_1V.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_0.8V.csv,Pulse-window transient read-disturb metric measured on QB during the read pulse.
Read Disturb,WL Underdrive,ss_0.8V,SS 0.8 V,16.859480,mV,Baseline,61.397008,-44.537528,-72.540225,Measured in Cadence,sim_data/baseline/rwtrans/rw_ff.csv; sim_data/baseline/rwtrans/rw_tt.csv; sim_data/baseline/rwtrans/rw_ss_1.csv; sim_data/baseline/rwtrans/rw_ss_08.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ff.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_tt.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_1V.csv; sim_data/optimized/wordline_underdrive/trans_WLunderopt_ss_0.8V.csv,Pulse-window transient read-disturb metric measured on QB during the read pulse.
